Week,Day,Online Task,Paper Task,Tests,Quizzes,Pages Read,Number of Readings
1,1,2,0,0,0,0,0
1,2,0,1,0,0,2,2
1,3,0,0,0,0,51,2
1,4,0,0,0,0,0,0
1,5,1,0,0,0,0,0
1,6,1,0,0,0,0,0
1,7,3,0,0,0,20,1
2,8,0,1,0,0,13,1
2,9,0,1,0,1,0,0
2,10,1,0,0,0,0,0
2,11,1,0,0,1,20,2
2,12,0,1,0,0,0,0
2,13,0,0,0,0,0,0
2,14,0,0,0,1,0,0
3,15,0,0,0,0,45,1
3,16,0,0,0,2,0,0
3,17,2,1,0,0,30,2
3,18,0,1,0,0,0,0
3,19,2,1,0,0,0,0
3,20,1,0,0,0,69,3
3,21,0,0,0,0,0,0
4,22,2,0,0,0,10,1
4,23,4,3,0,2,0,0
4,24,0,0,0,0,44,2
4,25,0,0,0,0,0,0
4,26,1,1,0,0,30,2
4,27,0,1,0,0,0,0
4,28,1,1,0,0,18,1
5,29,3,0,0,0,30,1
5,30,0,1,0,1,0,0
5,31,0,0,1,0,0,0
5,32,0,0,0,0,41,2
5,33,4,0,1,0,0,0
5,34,2,0,0,0,0,0
5,35,0,0,0,0,0,0
6,36,2,0,0,0,0,0
6,37,2,0,0,0,0,0
6,38,0,1,0,1,22,1
6,39,1,1,0,0,0,0
6,40,1,0,0,0,35,3
6,41,2,0,0,0,0,0
6,42,0,1,0,0,0,0
7,43,1,0,0,0,0,0
7,44,15,0,0,0,0,0
7,45,0,0,0,0,21,1
7,46,3,1,0,3,0,0
7,47,0,0,0,0,19,1
7,48,2,0,0,0,0,0
7,49,0,0,0,0,23,1
8,50,0,0,0,0,0,0
8,51,0,2,0,0,0,0
8,52,2,0,0,0,13,1
8,53,2,0,0,0,0,0
8,54,1,0,1,1,36,1
8,55,0,0,0,0,0,0
8,56,3,0,0,0,0,0
9,57,3,0,0,0,50,1
9,58,0,0,0,0,0,0
9,59,2,0,0,0,0,0
9,60,0,1,0,0,0,0
9,61,1,0,1,0,0,0
9,62,1,0,0,0,0,0
9,63,3,0,0,0,0,0
10,64,0,0,0,0,0,0
10,65,0,0,0,0,0,0
10,66,1,0,0,0,0,0
10,67,1,1,0,0,40,2
10,68,1,0,0,0,23,1
10,69,4,0,0,0,0,0
10,70,0,0,0,0,0,0
11,71,1,0,0,0,0,0
11,72,1,0,0,0,0,0
11,73,1,0,0,0,0,0
11,74,1,0,0,2,0,0
11,75,0,0,0,0,0,0
11,76,0,0,0,0,40,1
11,77,1,1,0,0,0,0
12,78,3,0,0,0,0,0
12,79,5,0,0,0,0,0
12,80,2,0,0,0,12,1
12,81,4,2,1,0,0,0
12,82,3,0,0,1,31,1
12,83,4,0,0,0,0,0
12,84,0,0,0,0,0,0
13,85,3,1,0,0,0,0
13,86,3,0,0,0,30,1
13,87,0,0,0,0,0,0
13,88,2,1,1,0,0,0
13,89,1,0,0,2,20,1
13,90,1,1,0,0,0,0
13,91,1,0,0,0,0,0
14,92,0,0,0,0,0,0
14,93,0,2,0,0,0,0
14,94,2,0,0,1,0,0
14,95,0,0,0,0,14,1
14,96,0,0,0,0,0,0
14,97,1,0,0,0,40,1
14,98,1,0,0,0,0,0
15,99,0,0,0,0,0,0
15,100,3,0,0,1,0,0
15,101,0,0,0,0,0,0
15,102,2,1,0,0,0,0
15,103,1,0,0,0,0,0
15,104,1,0,0,0,0,0
15,105,0,0,0,0,0,0
16,106,0,0,0,0,0,0
16,107,0,0,1,0,0,0
16,108,0,0,2,0,0,0
16,109,0,0,1,0,0,0
16,110,0,0,0,0,0,0